SINIF,YORUM
Flood,Some streets had minor flooding in Harrodsburg.
Thunderstorm Wind,A tree fell down on a home due to severe thunderstorm winds.
Thunderstorm Wind,Trees were reported down due to severe thunderstorm winds.
Thunderstorm Wind,The Department of Highways reported a tree down on Ashley Camp Road.
Thunderstorm Wind,The department of highways reported a tree down in Harrodsburg.
Thunderstorm Wind,The Metcalfe County emergency manager reported a tree down on Highway 80.
Funnel Cloud,Funnel cloud reported by local media along U.S. Highway 82 and Picacho Road.
Thunderstorm Wind,Two power poles were downed in Swearingen.
Hail,Seventy percent of the ground is covered.
Thunderstorm Wind,This was the weather station DULM5.
Thunderstorm Wind,There were multiple large popple and spruce trees down.
Hail,
Hail,
Hail,
Hail,
Hail,
Hail,
Hail,
Hail,Reported via Capital Weather Gang.
Hail,Reported by AX117.
Thunderstorm Wind,The Duluth Board of Trade Building in downtown Duluth was damaged. The chimney was first struck by lightning
Hail,The hail size ranged from nickel to quarter size.
Hail,The hail ranged from nickel to quarter size.
Coastal Flood,The USGS tidal gauge in Hudson Bay at Freeport recorded a peak water level of 6.0 ft. MLLW at 654 pm EST. The moderate coastal flood threshold of 5.8 ft. MLLW was exceeded from 612 to 736 pm EST. ||The moderate coastal flooding thresholds were established by the National Weather Service
Coastal Flood,The USGS tidal gauge in Hudson Bay at Freeport recorded a peak water level of 6.1 ft. MLLW at 748 pm EST. The moderate coastal flood threshold of 5.8 ft. MLLW was exceeded from 700 to 836 pm EST. ||The moderate coastal flooding thresholds were established by the National Weather Service
Marine Thunderstorm Wind,The Automated Surface Observing System (ASOS) at LaGuardia Airport measured a peak gust of 35 knots.
Marine Thunderstorm Wind,The WxFlow weather station in Amityville measured a peak wind gust to 34 knots.
Thunderstorm Wind,Law enforcement reported trees down on Waggoner Road.
Thunderstorm Wind,Law enforcement reported trees and wires down by thunderstorm winds.
Thunderstorm Wind,Law enforcement reported trees and power lines downed by thunderstorm winds.
Thunderstorm Wind,Law enforcement reported trees and power lines downed by thunderstorm winds.
Thunderstorm Wind,Law enforcement reported trees and power lines downed by thunderstorm winds.
Thunderstorm Wind,Trees and power lines were downed by thunderstorm winds.
Thunderstorm Wind,Law enforcement reported trees and power lines downed by thunderstorm winds.
Thunderstorm Wind,SC Highway Patrol reported a tree down near the intersection of Columbia Ave. and Peak St.
Thunderstorm Wind,Lexington Police Department reported a tree down blocking travel near the intersection of Bellewood Drive and Harmon Street.
Thunderstorm Wind,Highway Patrol reports a tree in the roadway on Steven Campbell Road near the intersection with Highway 1.
Thunderstorm Wind,Reported trees down along South Lake Drive and also along Old Chapin Road.
Thunderstorm Wind,County Dispatch reported trees and power lines down in the city of Newberry.
Thunderstorm Wind,Skywarn spotter reported a tree down along Hickory Hills Trail near Pontiac.
Thunderstorm Wind,Highway patrol reported a tree down along the 400 block of Longtown Road near Jilda Drive.
Thunderstorm Wind,Highway Patrol reported a tree down in the roadway along Hardscrabble Road near Sloan Road.
Flood,Street flooding reported on Hummingbird Drive and US 378.
Heavy Rain,Coop observer reported heavy rainfall of 3.0 inches over the last 24 hours.
Heavy Rain,CoCoRaHS observer reported heavy rainfall of 2.30 inches over the last 24 hours.
Heavy Rain,Trained spotter reported heavy rainfall of 2.3 inches over the last 24 hours.
Heavy Rain,CoCoRaHS observer reported heavy rainfall of 2.22 inches over the last 24 hours.
Funnel Cloud,A social media report and photograph
Thunderstorm Wind,A corner of a metal
Thunderstorm Wind,Clines Corners.
Hail,Half dollar size hail.
High Surf,
High Surf,
High Surf,
Flood,Cedar Beach Road was closed at Lighthouse Road due to flooding.
Flood,Minor flooding was reported.
Flood,Marl Pit road closed between US 13 and Brick Mill Road due to water on road.
Flood,Roadway flooding at the intersection of routes 113 and 26. Flooding also along route 20 and other spots on 113.
Heavy Rain,Just under seven inches of rain fell.
Heavy Rain,Just under five inches of rain fell.
Heavy Rain,Just under five inches of rain fell.
Heavy Rain,Almost five inches of rain fell.
Heavy Rain,Four and a half inches of rain fell.
Dense Fog,
Dense Fog,
Dense Fog,
Dense Fog,
Dense Fog,
Dense Fog,
Dense Fog,
Dense Fog,
Dense Fog,
Tropical Storm,Hermine formed in the Florida Straits south of Key West on August 28th. It remained a very disorganized tropical depression for a few days before the environment around it gradually became more favorable and it became a tropical storm late in the day on the 30th. Hurricane Hermine made landfall just east of St. Marks
Funnel Cloud,A storm moved across Eddy County and produced a funnel cloud one mile west of Hope.  The funnel cloud was not reaching the ground but it became closer as they reported it on the phone.
Tornado,A thunderstorm moved across Eddy County and produced a tornado near Hope.  No damage survey was done but it is estimated that the tornado began around one mile west of Hope and ended around five miles west of Hope.  This tornado was spotted by several Skywarn spotters in Eddy County.  No damage was reported with this tornado and the path length and width were estimated.
High Wind,A peak wind of 70 mph (61 kts) at Antler Creek.
High Wind,A peak wind of 75 mph (65 kts) at Edge Creek mesonet.
Flash Flood,Heavy rain produced flash flooding along Hudiburg Street in Holly Ridge. Water was high enough to close the road.
Thunderstorm Wind,A few power poles were knocked down
Thunderstorm Wind,Four utility poles were downed.
Thunderstorm Wind,Irrigation pivot was destroyed.
Hail,
Hail,
Hail,
Hail,
Hail,
Hail,
Thunderstorm Wind,
Thunderstorm Wind,Willacy County Emergency Manager reported a telephone pole blown down on FM 1015 in the town of Lasara and a power line down in Raymondville
Heavy Rain,Marshalltown airport ASOS recorded heavy rainfall of 2.02 inches.
Heavy Rain,Coop observer reported heavy rainfall of 2.95 inches.
Heavy Rain,Coop observer reported heavy rainfall of 2.70 inches.
Heavy Rain,Coop observer reported heavy rainfall of 2.25 inches.
Hail,
Thunderstorm Wind,Law enforcement reports three foot diameter cottonwood trees were blown down.
Thunderstorm Wind,Law enforcement reported six diameter tree limbs were reported down at a farm. Shingles were reported off of the roof as well.
Flash Flood,Thunderstorms produced heavy rain that caused flash flooding closing the intersection of Hwy 377 and RR674 west of Rocksprings.
Flash Flood,Thunderstorms produced heavy rain that caused flash flooding closing CR336 near the Frio River north of Leakey.
Flash Flood,Thunderstorms produced heavy rain that caused flash flooding closing all roads into and out of Rocksprings.
Flash Flood,Thunderstorms produced heavy rain that caused flash flooding closing RM3008 in northwestern Kinney County.
Flash Flood,Thunderstorms produced heavy rain that caused flash flooding sending the Frio River out of its banks at Garner State Park.
Flash Flood,Thunderstorms produced heavy rain that caused flash flooding sending the Frio River two to three feet over Old Leakey Rd at Magers Crossing south of Garner State Park.
Thunderstorm Wind,Several tree limbs of unknown size or condition were down in Belton.
Thunderstorm Wind,A trained spotter on the southside of Raymore reported a 65 mph wind gust.
Thunderstorm Wind,A large oak tree was split in half
Hail,
Thunderstorm Wind,A member of the public estimated a thunderstorm wind gust in excess of 60 mph.
Thunderstorm Wind,The Abilene Corrections Department reported 58 mph winds using a hand held anemometer.  A trained spotter also reported a church in Hamby lost a large portion of its roof in the damaging thunderstorm winds.
Flash Flood,Numerous low water crossings along the service roads of Interstate 20 were covered by running water.
Heavy Rain,A local trained weather observer measured 5.22 inches of rainfall in northern Shoreview between Wednesday afternoon
Heavy Rain,A local mesonet station measured 6.15 inches of rainfall in northern Brooklyn Center between Wednesday afternoon
Heavy Rain,A local trained weather observer measured 6.44 inches of rainfall in northern Maple Grove between Wednesday afternoon
Heavy Rain,A local trained weather observer measured 7.15 inches of rainfall in Maple Grove
Heavy Rain,A retired NWS employee measured 7.17 inches of rainfall in Spring Lake Park between Wednesday afternoon
Heavy Rain,A local trained weather observer measured 7.20 inches of rainfall in Brooklyn Park (just east of Osseo) between Wednesday afternoon
Heavy Rain,A local trained weather observer measured 7.65 inches of rainfall in far northern Fridley between Wednesday afternoon
Heavy Rain,A local trained weather observer measured 9.05 inches of rainfall in southwestern Maple Grove between Wednesday afternoon
Heavy Rain,A local trained weather observer measured 9.76 inches of rainfall in Maple Grove (just west of Fish Lake) between Wednesday afternoon
Heavy Rain,Public reported heavy rainfall of 5.02 inches storm total.
Heavy Rain,Public reported heavy rainfall of 5.11 inches since rain began at 8pm.
Heavy Rain,CoCoRaHS observer reported 4.86 inches of heavy rainfall over the past 24 hours.
Heavy Rain,CoCoRaHS observer reported 2.09 inches of heavy rainfall over the past 24 hours.
Thunderstorm Wind,Trained spotter reported 3 inch tree branches down along with quarter sized hail.
Hail,Trained spotter reported hail lasted for around 10 minutes
Thunderstorm Wind,Amateur radio operator reported tree limbs approximately 3 inches in diameter down.
Flood,Emergency Manager reported levee on the west side of Clarksville along the Shell Rock river failed and the southwest side of town is flooding.  Residents being evacuated.
Flash Flood,Storm total rainfall amounts of 3 to 5 inches of rain were reported. Emergency management reported that numerous county roads were covered in water
Flash Flood,Storm total rainfall amounts of 4 to 7 inches were reported. Emergency management reported numerous county roads covered in water across the area and a few culverts were washed out.
Flood,Very heavy rain fell over the southern half of Norton County
Heavy Rain,A storm total rainfall amount of 5.80 inches was reported
Heavy Rain,A storm total rainfall amount of 4.10 inches was reported
Heavy Rain,A storm total rainfall amount of 3.78 inches was reported
Marine Thunderstorm Wind,A gust of 61 knots was recorded at the North Lake Michigan Buoy as a line of thunderstorms passed.
Marine Thunderstorm Wind,Thunderstorms produced gusts of 37 knots in Kewaunee as they moved onto the nearshore waters of Lake Michigan.
Lightning,A 66-year-old man was struck by lightning outside his residence on Tanglewood Court in Minocqua. He was first taken to Howard Young Medical Center
Thunderstorm Wind,Thunderstorm winds pushed a 28 foot by 40 foot shed off its foundation and damaged several apple trees north of Hortonville.
Thunderstorm Wind,Thunderstorm winds downed street lights near Highway 55 and I-41.
Flash Flood,Greasy Creek was flowing out of its banks along Greasy Creek Road.
Flash Flood,Wilson's Creek flooded over the road at Farm Roads 146 and 123.
Flash Flood,Greasy Creek spilled out of its banks and over State Highway UU. One car was swept off the road at the location but the driver escaped safely on their own.
Flash Flood,The Niangua River was out of its banks at Bennett Springs State Park along Highway 64.
Flash Flood,State Highway E at the Little Niangua River was closed due to flooding.
Flash Flood,Heavy rainfall produced flash flooding that made portions of Short and Springfield Streets in town impassable.
Flash Flood,State Highway Z at Elk Creek was closed due to flooding.
Flash Flood,Water was reported over the road making it briefly impassable on State Highway 14 6 miles west of Highway 63.
Drought,The U.S. Drought Monitor expanded the Severe Drought (D2) designation into Washington County on September 13th.  This continued through the month of September.
Drought,
Drought,
Thunderstorm Wind,Wind speeds were estimated in town.
Winter Weather,Snowfall totals of 5 to 12 inches were measured above the 7500 foot level.  Locally higher amounts included 16 inches at the Kings Cabin SNOTEL site.  Wind gusts of 20 to 30 mph produced some areas of blowing and drifting snow.
Flash Flood,Steam Engine Park in Mabel was flooded by water from Riceford Creek.
Flash Flood,A mudslide north of Brownsville caused boulders to tumble down the side of a bluff. One of these boulders hit a house causing considerable damage. Numerous roads in the southern sections of Houston County had water over them prompting officials to close some of them
Heavy Rain,The COOP observer in Mabel measured 4.61 inches of rain.
Heavy Rain,The COOP observer in Caledonia measured 4.41 inches of rain.
Heavy Rain,The COOP observer near Dorchester measured 4.21 inches of rain.
Flood,Runoff from heavy rain pushed the Upper Iowa River out of its banks near Dorchester. The river crested over three feet above the flood stage at 17.19 feet.
Flood,Runoff from heavy rain pushed the Turkey River out of its banks in Spillville. The river crested almost five above the flood stage at 13.73 feet.
Flash Flood,A train derailment occurred near Ferryville when flood waters washed out the roadbed. Around 1
Flood,Runoff from heavy rain pushed the Black River out of its banks in Black River Falls. The river crested over thirteen feet above the flood stage at 60.3 feet
Hail,
Hail,
Hail,
Flood,During the morning the bridge north of Jennings was reported to be underwater. Estimated the flooding to have receded close to the same time the flood waters in Norton and Graham county receded.  No damage was reported.
Flash Flood,Prolonged heavy rainfall caused runoff to erode a three to three and a half feet deep ditch  along the side of the road near the CR R/CR 3 intersection exposing a gas line.
Hail,At least two windows were broken from the hail and wind.  The hail also damaged the trees.
Hail,
Hail,A home lost all of the windows in it from the hail.  The glass was blown into the house.
Flood,Heavy rainfall of 4 to over 10 inches over significant areas from 21 to 23 September in extreme North Central and Northeast Iowa moved downstream causing the Mississippi River to rise above major flood stage levels. ||Burlington rose above its major flood stage level of 18.0 feet on September 30th
Flood,Heavy rainfall of 4 to over 10 inches over significant areas from 21 to 23 September in extreme North Central and Northeast Iowa moved downstream causing the Cedar River to rise above major flood stage levels.  ||Vinton rose above its major flood stage level of 19.0 feet on September 25th
Marine Thunderstorm Wind,USAF wind tower 0022 recorded winds of 38 knots as a rainband with heavy rain and strong winds passed by.
Hail,Hail up to the size of quarters covering the ground at the Giant gas station along Interstate 25.
Heavy Rain,Just over 2 inches of rain was measured.
Thunderstorm Wind,Winds damaged a metal building.
Thunderstorm Wind,The Madison County 911 center reported several trees blown down across the Danielsville area.
Marine Thunderstorm Wind,OCC reported gusts of 37 knots.
Thunderstorm Wind,FD and Highway Patrol reported multiple trees blown down from Lake Keowee to the area around Beacon Ridge Dr west of Clemson. Most of the damage was in this area
Hail,Hail was covering the ground.
Hail,
Hail,
Hail,
Hail,
Hail,
Thunderstorm Wind,Wind gusts were estimated to be near 60 MPH.
Lightning,A person was struck by lightning and transported to a local hospital.
Hail,The hail is covering the ground.
Hail,The hail stones ranged from pea to penny in size.
Hail,The hail stones ranged from ping-pong to golf ball in size.
Hail,
Hail,
Hail,
Flash Flood,Prolonged heavy rainfall of around two inches fell over the flash flood area.  However the corridor of heavy rainfall followed the channel of Plum Creek upstream
Flash Flood,Prolonged heavy rainfall caused flooding across CR Seneca between CR 430 and Highway 83.  Rainfall amounts of 2 to 4 inches fell across the flash flood area.
Thunderstorm Wind,Several trees were uprooted at the local golf course. Other trees were damaged.
Hail,The hail came down sideways due to the strong wind.
Tropical Storm,Storm total rainfall measured 1 mile west of Glen St. Mary was 4.31 inches. A RAWS weather station called Eddy Tower in the Olustee National Forest measured a peak wind gust of 30 mph on Sept. 2nd at 4:04 am and the RAWS weather station Olustee measured a peak wind gust of 43 mph on Sept. 1st at 10:04 pm.
Tropical Storm,Scattered trees and power lines were blown down across the county. Storm total rainfall amounts ranged from 3.21 inches 1 mile ESE of Starke to 3.01 inches 2 miles NE New River.
Marine Thunderstorm Wind,USAF wind tower 0300 west of Cape Canaveral measured a peak gust of 45 knots from the southwest as a line of heavy showers and isolated thunderstorms affected the immediate coast and adjacent waters.
Marine Thunderstorm Wind,The AWOS at Patrick Air Force Base (KCOF) measured a peak gust of 53 knots from the southwest as a line of heavy showers and isolated thunderstorms affected the immediate coast and adjacent waters.
Thunderstorm Wind,The Patrick Air Force Base AWOS (KCOF) measured a peak gust of 53 knots from the west as a line of heavy showers and isolated thunderstorms crossed the airfield.
Marine Thunderstorm Wind,USAF wind tower 0300 recorded winds of 38 knots as a rainband with heavy rain and strong winds passed by.
Marine Thunderstorm Wind,USAF wind tower 0132 recorded winds of 37 knots as a rainband with heavy rain and strong winds passed by.
Drought,Persistent drought conditions continued to be reported.
Drought,Persistent drought conditions continued to be reported.
Tropical Storm,Charleston County Emergency Management reported numerous trees blown down across the county due to Tropical Storm Hermine. Some trees were down on power lines causing at least scattered power outages. Heavy rainfall occurred as well
Thunderstorm Wind,Power lines were downed. A tractor-trailer was overturned near the intersection of M-66 and Bartholomew Road.
Thunderstorm Wind,Several large tree limbs were downed at the Indian River Golf Club.
Thunderstorm Wind,Several trees and power lines were downed.
Thunderstorm Wind,A tree and multiple power lines were downed near Lake James.
Lightning,A Texas man was was struck and killed by lightning while on the North Country Trail in Dickson Township.
Hail,A thunderstorm moved across Eddy County and produced tennis ball sized hail in Artesia.  The hail dented a car and damaged some trees.  The cost of damage is a very rough estimate.
Hail,A thunderstorm moved across Lea County and produced golf ball sized hail in Jal.  The hail broke windows in buildings in Jal.  The cost of damage is a very rough estimate.
Hail,A thunderstorm moved across Lea County and produced golf ball sized hail ten miles north of Jal.  A motorist reported that hail broke the windshield on a car.  The cost of damage is a very rough estimate.
Funnel Cloud,Several members of the public called to report several funnel clouds in western Broward county in Southwest Ranches.
Funnel Cloud,Twitter photos showed a wall cloud and funnel cloud near I-75 in interior Broward County.
Marine Thunderstorm Wind,A SW wind gust of 43 knots or 50 MPH was reported by the SFWMD mesonet site L006 located over the southern end of Lake Okeechobee at 315PM.
Marine Thunderstorm Wind,A NNW wind gust of 39 knots or 45 MPH was reported by the SFWMD mesonet site located over the center of Lake Okeechobee. Winds were sustained at 30 knots or 35 MPH.
Marine Thunderstorm Wind,A NNE wind gust of 45 MPH or 39 knots was recorded at a mesonet site located in Biscayne Bay.
Hail,
Hail,
Hail,
Flash Flood,Heavy rain fell across Scurry County and produced flash flooding near Union
Hail,A trained spotter reported nickel to ping pong size hail with a storm that moved over Big Spring
Hail,Quarter to ping pong ball size hail was reported by the public one mile west of Snyder
Hail,
Hail,
Marine Thunderstorm Wind,The Cameron tide gauge recorded a wind gust of 49 MPH.
Marine Thunderstorm Wind,KSCF recorded a wind gust of 43 MPH.
Marine Thunderstorm Wind,KSCF recorded a wind gust of 42 knots.
Marine Thunderstorm Wind,KEIR recorded a wind gust of 39 MPH.
Marine Thunderstorm Wind,KEIR recorded a wind gust of 40 MPH.
Marine Thunderstorm Wind,Workers on a platform in South Marsh Island Block 239 estimated a wind gust of 45 MPH with a passing storm.
Marine Thunderstorm Wind,A platform in South Marsh Island Block 281 recorded a wind gust of 47 MPH.
Thunderstorm Wind,Wind gust measured with a Davis Anemometer.
Hail,
Hail,
Thunderstorm Wind,Law enforcement reported a large tree branch over North Front Road.
Thunderstorm Wind,Large trampoline blown into a telephone line on the west side of North Platte.
Lightning,Lightning killed 6 head of cattle northwest of North Platte.
Thunderstorm Wind,Thunderstorm wind gust estimated at 60 MPH.
Hail,
Hail,A trained spotter reported quarter size hail in Early.
Hail,Quarter size hail in Winchell was reported through amateur radio at 410 pm and again at 420 pm.
Hail,The fire department reported quarter size hail lasted for 15 to 20 minutes
Hail,A trained spotter reported half dollar to hen egg size hail in Melvin. The large hail busted a windshield.
Hail,A trained spotter reported quarter to ping pong ball size hail in Melvin.
Hail,Golf ball size hail was reported through amateur radio along US Highway 67 on the Brown/Coleman County line.
Thunderstorm Wind,A part of a roof was blown off at Nordaas American Homes building northwest of Minnesota Lake. Some of the materials at the business blew across an adjacent field. Some minor tree damage also occurred in the area.
Thunderstorm Wind,Severe thunderstorm wind gusts blew trees down across Highway 57 south at Baston Wade Road.
Thunderstorm Wind,Severe thunderstorm wind gusts blew trees down on both Basin Refuge Road and Basin Central Road.
Thunderstorm Wind,Several trees were downed by severe thunderstorm wind gusts.
Thunderstorm Wind,Trees were downed near Highway 57 north and the Greene County line by severe thunderstorm wind gusts.
Flash Flood,Up to four inches of rain fell in a short amount of time over the far southern portions of Boone County causing flash flooding. Several roads were flooded including Main Street in Hartsburg.
Tropical Storm,Rain bands associated with Tropical Storm Hermine produced generally 0.25 inch to 0.75 inch of rainfall across the county. Mollusk (1 SE) reported 0.54 inch of rain.  Kilmarnock (2.5 NW) reported 0.40 inch of rain. Coastal storm tides of around 2 feet above astronomical tide levels were common
Tropical Storm,Rain bands associated with Tropical Storm Hermine produced generally 0.25 inch to 0.75 inch of rainfall across the county. Stampers reported 0.33 inch of rain.
Tropical Storm,Rain bands associated with Tropical Storm Hermine produced generally 0.25 inch to 0.75 inch of rainfall across the county. Lottsburg (2.3 NNE) reported 0.34 inch of rain. Wind gust of 35 knots was measured at Lewisetta. Coastal storm tides of 1.5 to 2 feet above astronomical tide levels were common
Tropical Storm,Rain bands associated with Tropical Storm Hermine produced generally 3 to 7 inches of rainfall across the county. Mariners Wharf Park at Elizabeth City reported 6.36 inches of rain. Elizabeth City Coast Guard Air Station (ECG) reported 6.02 inches of rain. Elizabeth City (2.6 W) reported 5.15 inches of rain. The highest sustained wind of 40 knots with a peak wind gust of 54 knots was measured at ECG.
Tropical Storm,Rain bands associated with Tropical Storm Hermine produced generally 3 to 7 inches of rainfall across the county. Hertford (7.7 SSE) reported 7.10 inches of rain. Hertford (6.9 SSE) reported 6.31 inches of rain. Belvidere (5.4 N) reported 4.57 inches of rain.
Tropical Storm,Rain bands associated with Tropical Storm Hermine produced generally 2 to 5 inches of rainfall across the county. South Mills (0.1 SW) reported 4.83 inches of rain.
Tropical Storm,Rain bands associated with Tropical Storm Hermine produced generally 3 to 6 inches of rainfall across the county. Windsor (3 ENE) reported 5.34 inches of rain. Windsor (1.5 WNW) reported 4.21 inches of rain. Lewiston reported 3.75 inches of rain.
Hail,
Hail,
Hail,An amateur radio operator reported golf ball size hail broke windows at a home.
Hail,
Hail,
Hail,
Hail,
Hail,
Hail,Quarter size hail was reported at Lake Kirby.
Tornado,Several storm chasers and storm spotters observed this tornado
Hail,Media reported quarter size hail on George Hildebran School Rd.
Winter Storm,
Winter Storm,
Hail,
Hail,
Flash Flood,Jasper County dispatch reported significant flooding ongoing on Interstate 95 near mile marker 22. Both the northbound and southbound lanes are closed and completely impassable. Highway 17 is also flooded near Interstate 95 and a gas station has an unknown amount of water in the building. A few cars are submerged in the flood waters on both Interstate 95 and Highway 17. Interstate 95 was closed between exit 18 and exit 24 for almost 24 hours.
Flash Flood,South Carolina Highway Patrol reported that a portion of Great Swamp Road was washed out between Malphrus Road and Lynchs Ford Road.
Flash Flood,Jasper County Emergency Management reported a partial road collapse due to flooding near Great Swamp Baptist Church on Tarboro Road.
Flash Flood,The public reported parking lots flooded and numerous cars stranded near the intersection of Peppercorn Lane and Mountainbrook Avenue.
Thunderstorm Wind,Metal shed doors were blown in and some roofing was peeled off.
Hail,The hail damaged the shutters and cracked the windows of a house.
Thunderstorm Wind,Large tree limbs were blown down on the southwest side of Louisville.
Thunderstorm Wind,Several large tree branches and power lines were blown down in Flora.  Shingles were blown off a roof on Austin Avenue.
Thunderstorm Wind,Several trees and power lines were blown down and a barn was damaged about two miles east of Trimble.
Thunderstorm Wind,A few power lines were blown down just west of Oblong.
Thunderstorm Wind,Trees were blown down in Wynoose.
Hail,
Hail,
Thunderstorm Wind,
Hail,
Hail,
Hail,
Hail,
Hail,
Hail,
Thunderstorm Wind,Trees were reported down in the area.
Hail,
Hail,
Thunderstorm Wind,Trained spotters estimated winds at 60 mph.
Thunderstorm Wind,Trees were reported down in the area.
Thunderstorm Wind,Trained spotters reported trees down in the area.
Thunderstorm Wind,The Russell County emergency manager reported trees down across many locations in the county.
Thunderstorm Wind,The department of highways reported trees down on Wards Branch Road.
Thunderstorm Wind,The Adair County emergency manager reported many trees down across various locations in the county.
Tornado,A very narrow intense damage path of rotating winds 90 to 95 mph was embedded within a 3 mile wide area of straight line winds in eastern Breckinridge County. The tornado left a distinct path in the vegetation and destroyed a part of a large metal barn near the Rosetta General Store. It also caused the walls of 2 adjacent outbuildings and a garage to buckle out.  Wind-driven hail occurring with the storm shredded the vinyl siding on the west side of a home.
Tornado,A tornado briefly touched down on Spinks Drive just off of Highway 69
Thunderstorm Wind,Trees and power lines were reported down along Highway 60.
Thunderstorm Wind,Two severe wind gusts were measured by a Texas Tech University West Texas mesonet south of Olton.  The first was 58 mph at 525 PM CST and the second gust to 63 mph occurred at 540 PM CST.
Thunderstorm Wind,Measured at the Lubbock International Airport.
Thunderstorm Wind,Measured by a Texas Tech University West Texas mesonet.
Thunderstorm Wind,Measured by a Texas Tech University West Texas mesonet.
Thunderstorm Wind,There were numerous trees snapped near Hill City.
Thunderstorm Wind,There were trees blown down near Antler Lake.
Winter Weather,Snowfall amounts of 4 to 6 inches were measured across the area.  Locally higher amounts included 15 inches at Beaver Creek Ski Area.  Wind gusts of 20 to 40 mph produced areas of blowing and drifting snow.  I-70 on Vail Pass was closed for a period of time due a number of vehicle accidents and poor road conditions.
Hail,
Hail,
Hail,
Hail,
Thunderstorm Wind,Multiple trees down on Dale Blvd near Forestdale Ave.
Thunderstorm Wind,A large tree was reported down in the 6700 block of Little Falls Rd.
Thunderstorm Wind,A large tree was reported down at 19th Rd North and North Utah St.
Thunderstorm Wind,A tree was reported down at the 4900 block of 26th St. North.
Thunderstorm Wind,A tree was reported down at the 4300 block of Lorcon Lane.
Tornado,Tornado developed just west of Highway 23
Hail,
Hail,
Thunderstorm Wind,Outbuilding destroyed by thunderstorms winds. Time estimated by radar.
Marine Thunderstorm Wind,The WxFlow weather station in Larchmont Harbor measured a peak wind gust to 34 knots.
Marine Thunderstorm Wind,
Marine Thunderstorm Wind,
Marine Thunderstorm Wind,A wxflow weather station at Bayonne
Marine Thunderstorm Wind,A mesonet weather station at Gilgo Beach measured a peak wind gust to 35 knots.
Thunderstorm Wind,Thunderstorm winds estimated near 60 mph knocked down trees in Paradise.
Drought,
Drought,
Drought,
Flash Flood,Underpass on K-31 near Kincaid has water overflowing the road. One car was stranded
Hail,A trained spotter reported dime sized hail.
Hail,A trained spotter reported hail the size of nickels
Flood,Heavy rainfall of 4 to over 10 inches over significant areas from 21 to 23 September in extreme North Central and Northeast Iowa moved downstream causing the Wapsipinicon River to rise above major flood stage levels.  ||Independence rose above its major flood stage level of 15.0 feet on September 24th
Flood,The county Emergency Manager reported roughly 10 homes under water.  There were 4 campgrounds that were evacuated.  Numerous road closures occurred near the river.
Flood,High water (localized street flooding) near Hulen and I-30 in Fort Worth.
Flood,Several locations in Dallas County reported high water.
Thunderstorm Wind,Two trees were reported down along Old Middlesboro Highway.
Heavy Rain,Trained spotter reported heavy rainfall of 3.93 inches over the last 24 hours.  Measured with a CoCoRaHS gage.
Heavy Rain,Trained spotter reported heavy rainfall of 2.52 inches over the last 24 hours.
Thunderstorm Wind,Large branch around 6 inches in diameter down on the Iowa State University campus west of the Food Science Building.
Thunderstorm Wind,A 911 call center reported that several trees were blown down near Budd Lake.
Thunderstorm Wind,Ingham county emergency management reported that many trees and power lines were blown down in Stockbridge.
Hail,Golf ball size hail at the Whittington NRA Center Founder's Post. This storm moved over Interstate 25 south of Raton and dumped two to three inches of pea size hail near mile marker 450. Several vehicle accidents were reported however no estimates are available on property damage.
Hail,Quarter size hail near Yeso.
Hail,Quarter size hail four miles east of Fort Sumner.
High Surf,
High Surf,
High Surf,
Flood,Route 1 closed between Bethany Beach and Dewey beach due to water on the road.
Heavy Rain,Over six inches of rain fell in less than a day.
Heavy Rain,Eight and a half inches of rain fell.
Heavy Rain,Four and a half inches of rain fell in 24 hours.
Heavy Rain,Just over 4 inches of rain fell.
Heavy Rain,Almost four and a half inches of rain fell.
Heavy Rain,Almost ten inches of rain fell.
Heavy Rain,Over eleven inches of rain fell.
Heavy Rain,Just over eight inches of rain fell.
Heavy Rain,Just over six inches of rain fell.
Dense Fog,
Dense Fog,
Dense Fog,
Dense Fog,
Dense Fog,
Dense Fog,
Dense Fog,
Dense Fog,
Dense Fog,
Dense Fog,
Tropical Storm,Hermine formed in the Florida Straits south of Key West on August 28th. It remained a very disorganized tropical depression for a few days before the environment around it gradually became more favorable and it became a tropical storm late in the day on the 30th. Hurricane Hermine made landfall just east of St. Marks
Hail,
Tornado,A tornado touched down briefly but no damage was observed.
Hail,
Hail,
Hail,
Hail,
Hail,
Hail,
Hail,
Hail,
Thunderstorm Wind,
Flash Flood,Heavy rain produced flash flooding over and east of Piney Green. Water was reported up to car windows in the neighborhood adjacent to Rocky Run Road.
